Bancs;camera;zone;Pop;5_degres_C_TMG_h;5_degres_C_TMG_j;Aire_sous_la_courbe;15_j;16 _j;17_j;18 _j;19_j ;20 _j;21_j
3;3;12;830;364,71;15,20;9608;24;36;52;60;60;68;68
4;2;42;830;366,22;15,26;10064;32;52;52;68;72;72;72
3;1;23;830;395,58;16,48;8392;28;36;44;48;72;76;76
4;3;33;830;368,24;15,34;9368;36;56;60;64;68;68;68
4;2;21;830;353,71;14,74;12792;60;72;76;84;84;84;84
4;1;44;830;367,80;15,33;11056;40;56;64;68;76;76;80
4;4;11;830;386,09;16,09;11032;20;60;68;76;84;92;92
4;2;45;830;372,83;15,53;12784;36;60;68;84;88;92;96
3;1;15;830;368,91;15,37;12064;44;68;72;80;84;84;88
4;4;14;830;384,95;16,04;10168;28;44;60;72;80;84;84
4;2;44;830;402,00;16,75;7488;16;36;44;52;56;68;72
3;2;24;830;367,58;15,32;10520;32;56;68;68;68;72;76
3;3;14;830;379,45;15,81;11136;32;56;72;84;88;88;88
3;4;46;830;355,45;14,81;13248;48;76;84;84;84;88;88
3;2;33;830;342,00;14,25;10496;40;44;56;56;64;64;64
3;1;34;830;397,80;16,58;8656;20;32;48;52;72;76;80
3;2;46;830;372,21;15,51;10168;36;48;60;76;76;76;76
3;4;36;830;369,89;15,41;10344;20;44;60;76;76;76;76
4;3;34;830;365,71;15,24;11784;56;64;72;76;80;80;84
3;3;41;830;364,22;15,18;10208;32;40;56;64;68;72;72
3;4;11;830;381,56;15,90;8960;24;40;52;56;64;68;72
3;3;33;830;390,74;16,28;8760;12;32;48;64;68;76;76
3;3;43;830;376,24;15,68;8824;32;44;48;64;68;68;68
3;4;24;830;378,95;15,79;9656;28;44;56;68;72;72;76
3;4;12;830;378,75;15,78;8144;24;40;44;52;60;60;64
4;3;24;830;369,68;15,40;10360;36;52;64;68;68;68;76
3;1;22;830;388,00;16,17;7080;12;20;32;48;60;60;60
3;4;26;830;362,67;15,11;8600;36;48;52;56;56;60;60
4;3;31;830;397,14;16,55;9144;24;32;48;68;80;84;84
4;4;44;830;352,42;14,68;11672;48;64;64;68;68;68;76
4;3;12;830;372,00;15,50;9648;28;44;60;68;72;72;72
4;4;43;830;372,57;15,52;11208;48;52;60;68;68;68;84
4;1;23;830;350,44;14,60;11200;56;56;60;64;64;72;72
