COLL_NOM;COLL_INSEE;ENFANT_SEXE;ENFANT_PRENOM;NOMBRE_OCCURENCES;﻿ANNEE
ANGERS;49007;M;Erwan;6;2018
ANGERS;49007;M;Mathys;6;2018
ANGERS;49007;M;Youssef;4;2018
ANGERS;49007;F;Valentine;10;2013
ANGERS;49007;F;Thaïs;9;2013
ANGERS;49007;F;Victoire;9;2013
ANGERS;49007;F;Laly;7;2013
ANGERS;49007;F;Anaé;5;2013
ANGERS;49007;F;Anaïs;18;2014
ANGERS;49007;F;Emy;10;2014
ANGERS;49007;F;Tessa;6;2014
ANGERS;49007;F;Goundoba;4;2014
ANGERS;49007;F;Alix;15;2015
ANGERS;49007;F;Axelle;8;2015
ANGERS;49007;F;Marion;8;2015
ANGERS;49007;F;Gabrielle;6;2015
ANGERS;49007;F;Eléna;5;2015
ANGERS;49007;F;Rose;34;2016
ANGERS;49007;F;Chloé;32;2016
ANGERS;49007;F;Léa;26;2016
ANGERS;49007;F;Zoé;25;2016
ANGERS;49007;F;Capucine;24;2016
ANGERS;49007;F;Léa;22;2017
ANGERS;49007;F;Agathe;16;2017
ANGERS;49007;F;Clémentine;5;2017
ANGERS;49007;F;Ema;4;2017
ANGERS;49007;F;Juline;4;2017
ANGERS;49007;F;Mélyne;4;2017
ANGERS;49007;F;Louise;38;2018
ANGERS;49007;F;Julia;22;2018
ANGERS;49007;F;Inès;17;2018
ANGERS;49007;F;Léa;17;2018
ANGERS;49007;F;Nour;5;2018
ANGERS;49007;F;Aliénor;4;2018
ANGERS;49007;M;Maxence;29;2013
ANGERS;49007;M;Lubin;7;2013
ANGERS;49007;M;Zacharie;4;2013
ANGERS;49007;M;Ethan;25;2014
ANGERS;49007;M;Lilian;5;2014
ANGERS;49007;M;Charles;4;2014
ANGERS;49007;M;Timéo;30;2015
ANGERS;49007;M;Léandre;15;2015
ANGERS;49007;M;Achille;6;2015
ANGERS;49007;M;Gaspard;14;2014
ANGERS;49007;M;Eden;12;2014
ANGERS;49007;M;Noam;7;2014
ANGERS;49007;M;David;4;2014
ANGERS;49007;M;Rafael;6;2015
ANGERS;49007;M;Robin;21;2016
ANGERS;49007;M;Yanis;15;2016
ANGERS;49007;M;Noa;10;2016
ANGERS;49007;M;Amine;4;2016
ANGERS;49007;M;Issam;4;2016
ANGERS;49007;M;Marlon;4;2016
ANGERS;49007;M;Léo;44;2017
ANGERS;49007;M;Noah;19;2017
ANGERS;49007;M;Aaron;15;2017
ANGERS;49007;M;Célestin;6;2017
ANGERS;49007;M;Eden;9;2018
ANGERS;49007;M;Arsène;6;2018
ANGERS;49007;F;Emy;12;2016
ANGERS;49007;F;Mya;10;2016
ANGERS;49007;F;Alice;22;2013
ANGERS;49007;F;Soline;19;2013
ANGERS;49007;F;Anna;10;2013
ANGERS;49007;F;Elina;10;2013
ANGERS;49007;F;Emmy;8;2013
ANGERS;49007;F;Eden;6;2013
ANGERS;49007;F;Ilyana;6;2013
ANGERS;49007;F;Aliya;5;2013
ANGERS;49007;F;Axelle;5;2013
ANGERS;49007;F;Lylou;5;2013
ANGERS;49007;F;Wendy;5;2013
ANGERS;49007;F;Jade;34;2014
ANGERS;49007;F;Léna;31;2014
ANGERS;49007;F;Margaux;23;2014
ANGERS;49007;F;Salomé;13;2014
ANGERS;49007;F;Lou;11;2014
ANGERS;49007;F;Alicia;6;2014
ANGERS;49007;F;Alyssa;6;2014
ANGERS;49007;F;Cloé;4;2014
ANGERS;49007;F;Adèle;25;2015
ANGERS;49007;F;Lina;16;2015
ANGERS;49007;F;Clara;15;2015
ANGERS;49007;F;Lou;12;2015
ANGERS;49007;F;Lia;7;2015
ANGERS;49007;F;Louison;6;2015
ANGERS;49007;F;Eloïse;5;2015
ANGERS;49007;F;Hanaé;5;2015
ANGERS;49007;F;Sara;4;2015
ANGERS;49007;F;Sarah;25;2016
ANGERS;49007;F;Luna;7;2016
ANGERS;49007;F;Nina;5;2016
ANGERS;49007;F;Norah;5;2016
ANGERS;49007;F;Aria;8;2018
ANGERS;49007;M;Jules;55;2013
ANGERS;49007;M;Eliott;14;2013
ANGERS;49007;M;Noa;10;2013
ANGERS;49007;M;Léon;9;2013
ANGERS;49007;M;Louis;36;2014
ANGERS;49007;M;Alexandre;12;2014
ANGERS;49007;M;Alexis;14;2015
ANGERS;49007;M;Amir;7;2015
ANGERS;49007;M;Félix;7;2015
ANGERS;49007;M;Léonard;6;2016
ANGERS;49007;M;Mahé;6;2016
ANGERS;49007;M;Arsène;5;2016
ANGERS;49007;M;Gustave;4;2016
ANGERS;49007;M;Hugo;37;2017
ANGERS;49007;F;Cassandre;5;2017
ANGERS;49007;F;Aliyah;4;2018
ANGERS;49007;M;Alex;5;2014
ANGERS;49007;M;Martin;32;2015
ANGERS;49007;M;Nino;24;2015
ANGERS;49007;M;Léon;17;2017
ANGERS;49007;M;Ezio;10;2017
ANGERS;49007;M;Rayan;7;2017
ANGERS;49007;M;Lorenzo;6;2017
ANGERS;49007;M;Milan;5;2017
ANGERS;49007;M;Valentin;11;2018
ANGERS;49007;M;Amir;9;2018
ANGERS;49007;F;Camille;28;2017
ANGERS;49007;F;Ambre;18;2017
ANGERS;49007;F;Gabrielle;14;2017
ANGERS;49007;F;Elise;10;2017
ANGERS;49007;F;Maëlys;9;2017
ANGERS;49007;F;Elisa;6;2017
ANGERS;49007;F;Lia;4;2017
ANGERS;49007;F;Mariam;4;2017
ANGERS;49007;F;Lola;26;2018
ANGERS;49007;F;Marion;5;2018
ANGERS;49007;M;Nolann;5;2013
ANGERS;49007;M;Nolan;31;2014
ANGERS;49007;M;Louison;7;2015
ANGERS;49007;M;Ewenn;5;2015
ANGERS;49007;M;Tiago;14;2016
ANGERS;49007;M;Milo;11;2016
ANGERS;49007;M;Owen;6;2017
ANGERS;49007;M;Anatole;5;2017
ANGERS;49007;M;Aubin;5;2017
ANGERS;49007;M;Ewen;8;2018
ANGERS;49007;M;Louison;7;2018
ANGERS;49007;M;Jean;6;2018
ANGERS;49007;M;Timothé;6;2018
ANGERS;49007;M;Gustave;5;2018
ANGERS;49007;M;Marwan;5;2018
ANGERS;49007;M;Alex;4;2018
ANGERS;49007;F;Gabrielle;10;2016
ANGERS;49007;F;Iris;8;2016
ANGERS;49007;F;Lilwenn;4;2016
ANGERS;49007;F;Jade;42;2017
ANGERS;49007;F;Léana;15;2017
ANGERS;49007;F;Elyne;4;2018
ANGERS;49007;F;Nora;4;2018
ANGERS;49007;M;Antonin;9;2014
ANGERS;49007;M;Joseph;9;2014
ANGERS;49007;M;Gauthier;4;2014
ANGERS;49007;M;Rafaël;4;2014
ANGERS;49007;M;Loan;4;2015
ANGERS;49007;M;Arthur;40;2016
ANGERS;49007;M;Ethan;19;2016
ANGERS;49007;M;Timéo;18;2016
ANGERS;49007;M;Léandre;9;2016
ANGERS;49007;M;Adrien;8;2017
ANGERS;49007;F;Lya;11;2017
ANGERS;49007;F;Athénaïs;4;2017
ANGERS;49007;F;Eléonore;8;2018
ANGERS;49007;F;Elena;7;2018
ANGERS;49007;F;Norah;6;2018
ANGERS;49007;F;Manel;5;2018
ANGERS;49007;F;Ninon;5;2018
ANGERS;49007;F;Syana;5;2018
ANGERS;49007;F;Eline;4;2018
ANGERS;49007;M;Amaury;9;2013
ANGERS;49007;M;Dorian;5;2013
ANGERS;49007;M;Loan;4;2013
ANGERS;49007;M;Lino;7;2014
